id,ss,sistema,disciplina,etapa,criticidad,descripcion,responsable,estado,fecha_apertura,fecha_cierre_plan,fecha_cierre_real
1,SS-101,Separador Trifasico,Mecanica,PreComm,A,Torque de bridas pendiente en linea de salida,J. Gomez,Cerrado,2026-05-04,2026-05-20,2026-05-18
2,SS-101,Separador Trifasico,Instrumentacion,PreComm,B,Calibracion de transmisor de nivel LT-101,M. Diaz,Cerrado,2026-05-05,2026-05-22,2026-05-25
3,SS-102,Bombas de Transferencia,Mecanica,PreComm,A,Alineacion laser bomba P-102A pendiente,R. Sosa,Cerrado,2026-05-06,2026-05-21,2026-05-19
4,SS-102,Bombas de Transferencia,Electrica,Comm,C,Falta rotulado de tablero MCC,L. Perez,Pendiente,2026-05-07,2026-05-30,
5,SS-103,Manifold de Ingreso,Mecanica,PreComm,B,Prueba hidraulica pendiente por falta de tapones ciegos,J. Gomez,Cerrado,2026-05-08,2026-05-24,2026-05-23
6,SS-103,Manifold de Ingreso,Instrumentacion,PreComm,A,Loop check PT-103 sin completar,M. Diaz,En Progreso,2026-05-09,2026-05-27,
7,SS-104,Sistema de Venteo,Seguridad,Comm,A,Inertizado pendiente segun NFPA 69,C. Rodriguez,En Progreso,2026-05-10,2026-05-28,
8,SS-104,Sistema de Venteo,Mecanica,PreComm,B,Falta soporteria definitiva en linea de venteo,R. Sosa,Cerrado,2026-05-11,2026-05-26,2026-05-24
9,SS-105,Tren de Deshidratacion,Electrica,Comm,C,Continuidad de puesta a tierra pendiente,L. Perez,Cerrado,2026-05-12,2026-05-29,2026-05-30
10,SS-105,Tren de Deshidratacion,Instrumentacion,Comm,A,Configuracion de logica de disparo ESD pendiente,M. Diaz,Pendiente,2026-05-13,2026-06-02,
11,SS-106,Sistema Contraincendio,Mecanica,PreComm,A,Prueba de caudal en red contraincendio pendiente,J. Gomez,Cerrado,2026-05-14,2026-05-31,2026-05-29
12,SS-106,Sistema Contraincendio,Instrumentacion,Comm,B,Calibracion detector de gas GD-106,C. Rodriguez,En Progreso,2026-05-15,2026-06-03,
13,SS-107,Compresor de Gas,Mecanica,PreComm,A,Alineacion acoplamiento compresor K-107 pendiente,R. Sosa,Cerrado,2026-05-16,2026-06-01,2026-05-31
14,SS-107,Compresor de Gas,Electrica,Comm,B,Prueba de motor sin carga pendiente,L. Perez,En Progreso,2026-05-17,2026-06-04,
15,SS-108,Sistema de Control,Instrumentacion,Comm,A,FAT de logica PLC sin cerrar observaciones,M. Diaz,Pendiente,2026-05-18,2026-06-05,
16,SS-108,Sistema de Control,Instrumentacion,Comm,C,Falta actualizar planos as-built de lazos,C. Rodriguez,Pendiente,2026-05-19,2026-06-06,
17,SS-109,Tanque de Almacenamiento,Mecanica,PreComm,B,Inspeccion visual de soldaduras pendiente,J. Gomez,Cerrado,2026-05-20,2026-06-07,2026-06-05
18,SS-109,Tanque de Almacenamiento,Civil,PreComm,C,Falta terminacion de pintura en base de tanque,R. Sosa,Pendiente,2026-05-21,2026-06-08,
19,SS-110,Sistema Electrico General,Electrica,Comm,A,Ajuste de proteccion de relee 50/51 pendiente,L. Perez,En Progreso,2026-05-22,2026-06-09,
20,SS-110,Sistema Electrico General,Electrica,Comm,B,Prueba de resistencia de aislacion en cables MT,L. Perez,Pendiente,2026-05-23,2026-06-10,
